00000293        addi x5 x0 0
00300e13        addi x28 x0 3
05c2d263        bge x5 x28 68
00000513        addi x10 x0 0
00000313        addi x6 x0 0
03c35263        bge x6 x28 36
0005a283        lw x5 0 x11
00062303        lw x6 0 x12
026282b3        mul x5 x5 x6
00550533        add x10 x10 x5
00130313        addi x6 x6 1
00458593        addi x11 x11 4
00460613        addi x12 x12 4
fe1ff06f        jal x0 -32
ff460613        addi x12 x12 -12
00a52023        sw x10 0 x10
00128293        addi x5 x5 1
00450513        addi x10 x10 4
fc1ff06f        jal x0 -64
00008067        jalr x0 x1 0
